area,bath_rooms,link,prize,rooms,zone
132,3,https://www.lahaus.com/p/apartamento-en-el-poblado-medellin-16614/medellin,430,3,"    El Campestre, Medellín, Antioquia, Colombia  "
71,3,https://www.lahaus.com/p/apartamento-en-calasanz-america-3-habitaciones-71m2/medellin,285,3,"    Calasanz, Medellín, Antioquia, Colombia  "
65,3,https://www.lahaus.com/p/california-del-poblado-95766/medellin,321,3,"    Castropol, Medellín, Antioquia, Colombia  "
150,4,https://www.lahaus.com/p/venta-de-apartamento-en-estadio-medellin/medellin,350,4,"    Estadio, Medellín, Antioquia, Colombia  "
120,4,https://www.lahaus.com/p/apartamento-en-venta-calazans-medellin/medellin,350,4,"    Calasanz, Medellín, Antioquia, Colombia  "
109,3,https://www.lahaus.com/p/se-vende-apartamento-en-el-poblado-lalinde/medellin,500,3,"    Castropol, Medellín, Antioquia, Colombia  "
59,3,https://www.lahaus.com/p/venta-apartamento-en-calasanz-34579/medellin,210,3,"    Santa Lucía, Medellín, Antioquia, Colombia  "
150,5,https://www.lahaus.com/p/venta-casa-calasanz-con-5-alcobas-3-closet/medellin,400,5,"    Calasanz, Medellín, Antioquia, Colombia  "
112,3,https://www.lahaus.com/p/vendo-apto-sector-la-abadia-envigado/medellin,380,3,"    El Campestre, Medellín, Antioquia, Colombia  "
99,3,https://www.lahaus.com/p/apartamento-paraambos-codigo-7874/medellin,330,3,"    Belén Centro, Medellín, Antioquia, Colombia  "
140,4,https://www.lahaus.com/p/montecatini/medellin,420,4,"    El Tesoro, Medellín, Antioquia, Colombia  "
89,4,https://www.lahaus.com/p/se-vende-apartamento-en-la-floresta-105610/medellin,280,4,"    La Floresta, Medellín, Antioquia, Colombia  "
55,3,https://www.lahaus.com/p/venta-apartamento-en-el-rodeo/medellin,230,3,"    Rodeo Alto, Medellín, Antioquia, Colombia  "
137,3,https://www.lahaus.com/p/apartamento-en-venta-sector-el-tesoro-el-poblado-cod-19361/medellin,460,3,"    El Tesoro, Medellín, Antioquia, Colombia  "
119,4,https://www.lahaus.com/p/apartamento-en-venta-conquistadores-medellin-99319/medellin,350,4,"    Conquistadores, Medellín, Antioquia, Colombia  "
141,3,https://www.lahaus.com/p/apartamento-en-laureles-medellin-101999/medellin,490,3,"    Lorena, Medellín, Antioquia, Colombia  "
63,3,https://www.lahaus.com/p/apartamento-en-robledo-la-pilarica-con-3-habitaciones-63-mt2/medellin,240,3,"    La Pilarica, Medellín, Antioquia, Colombia  "
86,3,https://www.lahaus.com/p/apartamento-en-santa-teresita-laureles-86mt-tres-alcobas-tres-balcones/medellin,315,3,"    Barrio Laureles, Medellín, Antioquia, Colombia  "
74,3,https://www.lahaus.com/p/venta-de-apartamento-en-los-colores-93690/medellin,345,3,"    Los Colores, Medellín, Antioquia, Colombia  "
162,6,https://www.lahaus.com/p/apartamento-duplex-en-venta-buenos-aires-el-vergel-cod-13602/medellin,465,6,"    Cataluña, Medellín, Antioquia, Colombia  "
158,4,https://www.lahaus.com/p/venta-casa-en-la-loma-de-los-bernal-con-2-parqueaderos/medellin,480,4,"    Belén Centro, Medellín, Antioquia, Colombia  "
150,4,https://www.lahaus.com/p/apartamento-en-la-villa-belen-cuatro-alcobas/medellin,400,4,"    La Villa, Medellín, Antioquia, Colombia  "
140,3,https://www.lahaus.com/p/apartamento-en-santa-maria-de-los-angeles-poblado-tres-alcobas-79762/medellin,490,3,"    Santa María de los Ángeles, Medellín, Antioquia, Colombia  "
154,3,https://www.lahaus.com/p/apartamento-en-venta-sector-loma-de-los-bernal-belen-38594/medellin,460,3,"    Loma de los Bernal, Medellín, Antioquia, Colombia  "
87,3,https://www.lahaus.com/p/apartamento-en-la-america-barrio-la-america-con-3-habitaciones-87-mt2/medellin,300,3,"    Barrio La América, Medellín, Antioquia, Colombia  "
160,4,https://www.lahaus.com/p/apartamento-en-venta-conquistadores-medellin-96485/medellin,445,4,"    Conquistadores, Medellín, Antioquia, Colombia  "
126,3,https://www.lahaus.com/p/se-vende-apartamento-en-sector-estadio/medellin,420,3,"    Estadio, Medellín, Antioquia, Colombia  "
99,3,https://www.lahaus.com/p/apartamento-en-la-america-calasanz-con-3-habitaciones-99-mt2/medellin,490,3,"    Calasanz, Medellín, Antioquia, Colombia  "
243,5,https://www.lahaus.com/p/apartamento-en-venta-centro-97561/medellin,450,5,"    Villa Nueva, Medellín, Antioquia, Colombia  "
67,3,https://www.lahaus.com/p/venta-apartamento-calasanz-medellin-93681/medellin,255,3,"    Calasanz, Medellín, Antioquia, Colombia  "
90,3,https://www.lahaus.com/p/apartamento-en-santa-monica-la-america-tres-alcobas-79991/medellin,250,3,"    Santa Mónica, Medellín, Antioquia, Colombia  "
96,3,https://www.lahaus.com/p/apartamento-paraventa-codigo-16002/medellin,390,3,"    San Lucas, Medellín, Antioquia, Colombia  "
231,5,https://www.lahaus.com/p/apartamento-medellin-conquistadores-35671/medellin,400,5,"    Conquistadores, Medellín, Antioquia, Colombia  "
69,3,https://www.lahaus.com/p/venta-apartamento-en-los-colores/medellin,295,3,"    Los Colores, Medellín, Antioquia, Colombia  "
144,5,https://www.lahaus.com/p/apartamento-duplex-en-venta-lopez-mesa-medellin/medellin,490,5,"    López de Mesa, Medellín, Antioquia, Colombia  "
68,3,https://www.lahaus.com/p/apartamento-en-venta-sector-buenos-aires-cod-18974/medellin,225,3,"    Alejandro Echavarría, Medellín, Antioquia, Colombia  "
113,3,https://www.lahaus.com/p/venta-apartamento-en-alameda-con-113-mts/medellin,290,3,"    Belén Centro, Medellín, Antioquia, Colombia  "
113,3,https://www.lahaus.com/p/se-vende-apartamento-en-santa-teresita-laureles/medellin,500,3,"    Barrio Laureles, Medellín, Antioquia, Colombia  "
128,3,https://www.lahaus.com/p/apartamento-en-los-colores-estadio-128mt-tres-alcobas-dos-balcones/medellin,370,3,"    Los Colores, Medellín, Antioquia, Colombia  "
89,4,https://www.lahaus.com/p/appartamento-en-san-bernardo-belen-89mt-cuatro-alcobas-balcon/medellin,320,4,"    Belén Centro, Medellín, Antioquia, Colombia  "
80,3,https://www.lahaus.com/p/apartamento-en-el-poblado-3-habitaciones-66448/medellin,335,3,"    El Tesoro, Medellín, Antioquia, Colombia  "
126,3,https://www.lahaus.com/p/se-vende-apartamento-en-el-estadio/medellin,430,3,"    Estadio, Medellín, Antioquia, Colombia  "
116,3,https://www.lahaus.com/p/apartamento-en-venta-en-conquistadores-medellin-93752/medellin,480,3,"    Conquistadores, Medellín, Antioquia, Colombia  "
100,3,https://www.lahaus.com/p/apartamento-en-los-colores-el-estadio-3-hbaitaciones-100-15m2/medellin,280,3,"    Los Colores, Medellín, Antioquia, Colombia  "
70,3,https://www.lahaus.com/p/apartamento-en-la-pilarica-robledo-con-3-habitaciones-70-mt2/medellin,290,3,"    La Pilarica, Medellín, Antioquia, Colombia  "
98,5,https://www.lahaus.com/p/apartamento-en-venta-belen-101621/medellin,260,5,"    Universidad Medellín, Medellín, Antioquia, Colombia  "
83,3,https://www.lahaus.com/p/la-mota-nucleo-4/medellin,350,3,"    Mota, Medellín, Antioquia, Colombia  "
82,3,https://www.lahaus.com/p/se-vende-apartamento-en-el-poblado-la-visitacion/medellin,375,3,"    Los Balsos, Medellín, Antioquia, Colombia  "
74,3,https://www.lahaus.com/p/panoramika-country-109696/medellin,400,3,"    Palmas, Medellín, Antioquia, Colombia  "
63,3,https://www.lahaus.com/p/camino-del-parque-54533/medellin,260,3,"    Loma de los Bernal, Medellín, Antioquia, Colombia  "
